SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
19-01210920,"2528 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/20/2019 11:59:00 PM,Closed,10/12/2019 01:08:59 PM,01/27/2020 02:32:49 AM,10/12/2019 01:08:59 PM,Investigation Complete,Standard,API,"(32.78365173500143000,-96.78792065593310000)",500t000000N6PFKAA3
19-01423639,"4901 TREMONT ST, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 02:48:57 PM,01/27/2020 02:03:49 AM,12/11/2019 02:48:57 PM,Investigation Complete,Standard,API,"(32.79801562090172000,-96.76679803004670000)",500t000000OfHgiAAF
19-01301780,"2516 HICKORY ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/16/2020 11:59:00 PM,Closed,11/07/2019 08:29:06 AM,01/27/2020 01:57:27 AM,11/07/2019 08:29:06 AM,Investigation Complete,Standard,API,"(32.77469396171489000,-96.78043760829230000)",500t000000NiQAjAAN
19-01345262,"2730 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/28/2020 11:59:00 PM,Closed,11/19/2019 09:23:05 AM,01/27/2020 02:46:19 AM,11/19/2019 09:23:05 AM,Investigation Complete,Standard,API,"(32.78296867106874400,-96.78376270181963000)",500t000000OcVTwAAN
19-01221248,"1410 LOOMIS AVE, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed,10/15/2019 03:58:56 PM,01/27/2020 02:50:17 AM,10/15/2019 03:58:56 PM,Investigation Complete,Standard,API,"(32.75361312506565000,-96.77207851668132000)",500t000000NWJSvAAP
19-01224249,"135 W 10TH ST, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 12:23:44 PM,01/27/2020 02:21:52 AM,10/16/2019 12:23:44 PM,Investigation Complete,Standard,API,"(32.74521418858596000,-96.82345013239173000)",500t000000NWbhGAAT
20-00073197,"2008 RED CLOUD DR, DALLAS, TX, 75217",5,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/06/2020 11:59:00 PM,In Progress,01/23/2020 02:55:55 AM,01/27/2020 02:19:00 AM,01/23/2020 02:55:55 AM,,Standard,API,"(32.74762570643133600,-96.65234749191660000)",500t000000R3NKnAAN
19-01247626,"3227 PENNSYLVANIA AVE, DALLAS, TX, 75210",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/01/2020 11:59:00 PM,Closed,10/23/2019 08:13:56 AM,01/27/2020 02:43:02 AM,10/23/2019 08:13:56 AM,Investigation Complete,Standard,API,"(32.77247661742928000,-96.76168590770676000)",500t000000NaEs0AAF
19-01359606,"2600 SYLVAN AVE, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,New (Duplicate),11/22/2019 10:09:32 AM,01/27/2020 02:23:22 AM,11/22/2019 10:09:32 AM,,Standard,API,"(32.77580124238226500,-96.83560320829470000)",500t000000Ocz0QAAR
19-01462451,"3405 BLACKBURN ST, DALLAS, TX, 75204",14,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,01/10/2020 11:59:00 PM,Closed,12/23/2019 02:08:29 PM,01/27/2020 02:31:06 AM,12/23/2019 02:08:29 PM,Work Completed,Standard,API,"(32.81169388286913600,-96.79941369472847000)",500t000000Pyho3AAB
19-01238883,"1400 S WESTMORELAND RD, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,11/04/2019 09:53:55 AM,Closed,10/21/2019 09:53:55 AM,01/27/2020 02:53:44 AM,10/21/2019 09:53:55 AM,Work Completed,Standard,Proactive,"(32.73011397738164000,-96.87403368686937000)",500t000000NZJY8AAP
19-01444257,"1310 S BUCKNER BLVD, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,In Progress,12/17/2019 07:27:46 PM,01/27/2020 02:05:49 AM,12/17/2019 07:27:46 PM,,Standard,API,"(32.73472151312370000,-96.68266525002022000)",500t000000PxpCGAAZ
19-01255596,"5402 GASTON AVE, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 03:54:15 PM,01/27/2020 01:50:58 AM,10/24/2019 03:54:15 PM,Investigation Complete,Standard,API,"(32.80411517480911000,-96.76432694092591000)",500t000000NrmR0AAJ
19-01193361,"722 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/17/2019 11:59:00 PM,Closed (Duplicate),10/08/2019 08:27:04 AM,01/27/2020 02:32:11 AM,10/08/2019 08:27:04 AM,Investigation Complete,Standard,API,"(32.78507469885922600,-96.76630960117892000)",500t000000N52fGAAR
19-01225972,"4202 LEMMON AVE, DALLAS, TX, 75219",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed,10/16/2019 04:49:14 PM,01/27/2020 02:21:32 AM,10/16/2019 04:49:14 PM,Investigation Complete,Standard,Phone,"(32.81594378419977000,-96.80996341077434000)",500t000000NWlWmAAL
19-01231362,"RICHMOND AVE & SKILLMAN ST, DALLAS, TX, 75206",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,11/01/2019 08:49:13 AM,Closed,10/18/2019 08:49:13 AM,01/27/2020 02:52:34 AM,10/18/2019 08:49:13 AM,Work Completed,Standard,Proactive,"(32.81613658124610000,-96.76154387496926000)",500t000000NXSYCAA5
19-01410774,"JULIUS SCHEPPS FWY SB & S LAMAR ST, DALLAS, TX, 75215",7,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/23/2019 07:47:19 AM,Closed,12/09/2019 07:47:19 AM,01/27/2020 02:54:19 AM,12/09/2019 07:47:19 AM,Work Completed,Standard,Proactive,"(32.75256594539603000,-96.77090368164464000)",500t000000Oek4lAAB
19-01338004,"3933 EAST SIDE AVE, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,In Progress (Duplicate),11/16/2019 02:42:48 PM,01/27/2020 02:42:01 AM,11/16/2019 02:42:48 PM,,Standard,API,"(32.78641212505748000,-96.77194224261692000)",500t000000OcF4WAAV
19-01249294,"1702 MARTIN LUTHER KING JR BLVD, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/01/2020 11:59:00 PM,Closed,10/23/2019 11:48:25 AM,01/27/2020 02:43:11 AM,10/23/2019 11:48:25 AM,Investigation Complete,Standard,API,"(32.76198330223956400,-96.77651532507950000)",500t000000NaNm6AAF
19-01423283,"3909 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,In Progress,12/11/2019 02:04:06 PM,01/27/2020 02:03:59 AM,12/11/2019 02:04:06 PM,,Standard,API,"(32.78691937041874400,-96.77298939855783000)",500t000000OfGQjAAN
19-01356456,"4830 SAMUELL BLVD, DALLAS, TX, 75227",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed (Duplicate),11/21/2019 12:57:47 PM,01/27/2020 02:47:04 AM,11/21/2019 12:57:47 PM,Investigation Complete,Standard,API,"(32.79281084762467000,-96.71355332687399000)",500t000000OcsCKAAZ
19-01444750,"4214 MT ROYAL ST, DALLAS, TX, 75211",3,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed (Duplicate),12/17/2019 09:24:12 PM,01/27/2020 02:05:45 AM,12/17/2019 09:24:12 PM,Investigation Complete,Standard,API,"(32.74682658281864000,-96.88863322092931000)",500t000000PxpxQAAR
19-01443472,"427 W COMMERCE ST, DALLAS, TX, 75208",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,New,12/17/2019 04:24:07 PM,01/27/2020 02:05:43 AM,12/17/2019 04:24:07 PM,,Standard,API,"(32.77366376829586000,-96.82960250907358000)",500t000000PxnuAAAR
19-01396463,"4832 GASTON AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 12:04:07 PM,01/27/2020 02:27:11 AM,12/04/2019 12:04:07 PM,Investigation Complete,Standard,API,"(32.79920462502013000,-96.77024881824765000)",500t000000OeGe5AAF
19-01367823,"906 W 7TH ST, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/03/2020 11:59:00 PM,Closed (Duplicate),11/25/2019 12:08:48 PM,01/27/2020 02:24:00 AM,11/25/2019 12:08:48 PM,Investigation Complete,Standard,API,"(32.74884884425909000,-96.83775009913654000)",500t000000OdHYVAA3
19-01392189,"810 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/11/2020 11:59:00 PM,New (Duplicate),12/03/2019 02:28:29 PM,01/27/2020 02:37:57 AM,12/03/2019 02:28:29 PM,,Standard,API,"(32.74300485153023000,-96.83603084662225000)",500t000000Oe7yQAAR
19-01394633,"5809 GREENVILLE AVE, DALLAS, TX, 75206",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 09:03:51 AM,01/27/2020 02:38:32 AM,12/04/2019 09:03:51 AM,Investigation Complete,Standard,API,"(32.85620313502380000,-96.76907198966688000)",500t000000OeDYYAA3
19-01367110,"4903 SAN JACINTO ST, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/03/2020 11:59:00 PM,Closed,11/25/2019 10:49:35 AM,01/27/2020 02:23:53 AM,11/25/2019 10:49:35 AM,Investigation Complete,Standard,API,"(32.80538044564461600,-96.77522971054440000)",500t000000OdGMdAAN
19-01373540,"4114 S LAMAR ST, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/04/2020 11:59:00 PM,New,11/26/2019 01:59:50 PM,01/27/2020 02:24:22 AM,11/26/2019 01:59:50 PM,,Standard,API,"(32.75127284311146500,-96.76894824243738000)",500t000000OdTl2AAF
19-01377018,"408 SINGLETON BLVD, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 11:18:29 AM,01/27/2020 02:39:21 AM,11/27/2019 11:18:29 AM,,Standard,API,"(32.77845538120887000,-96.83061552529573000)",500t000000OdbFJAAZ
19-01421514,"2201 N STEMMONS FWY SB, DALLAS, TX, 75207",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 10:19:39 AM,01/27/2020 02:03:40 AM,12/11/2019 10:19:39 AM,Investigation Complete,Standard,API,"(32.80148589382934400,-96.82732160181929000)",500t000000OfA4DAAV
19-01178446,"5470 N JIM MILLER RD, DALLAS, TX, 75227",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/12/2019 11:59:00 PM,Closed,10/03/2019 12:02:48 PM,01/27/2020 12:57:53 AM,10/03/2019 12:02:48 PM,Investigation Complete,Standard,API,"(32.79100044197155000,-96.69978423007892000)",500t000000N41j4AAB
19-01425797,"4810 CAPITOL AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 09:27:58 AM,01/27/2020 02:28:34 AM,12/12/2019 09:27:58 AM,,Standard,API,"(32.81064456510393000,-96.78266352841604000)",500t000000OfPPaAAN
19-01402647,"800 S PEAK ST, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,12/05/2019 01:57:56 PM,01/27/2020 02:28:22 AM,12/05/2019 01:57:56 PM,Investigation Complete,Standard,API,"(32.78620329200429000,-96.76436966716278000)",500t000000OeSwVAAV
19-01431040,"4500 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,Closed,12/13/2019 11:23:21 AM,01/27/2020 02:04:23 AM,12/13/2019 11:23:21 AM,Investigation Complete,Standard,API,"(32.80266760214282000,-96.78024454131858000)",500t000000PxKJcAAN
19-01247338,"4402 LEMMON AVE, DALLAS, TX, 75219",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/01/2020 11:59:00 PM,Closed,10/23/2019 07:34:27 AM,01/27/2020 02:43:19 AM,10/23/2019 07:34:27 AM,Investigation Complete,Standard,API,"(32.81810629078163500,-96.81246801222743000)",500t000000NaDqwAAF
19-01260637,"901 S ZANG BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/03/2020 11:59:00 PM,New (Duplicate),10/25/2019 08:43:35 PM,01/27/2020 01:52:01 AM,10/25/2019 08:43:35 PM,,Standard,API,"(32.73717238717960000,-96.82480386861552000)",500t000000NsMNnAAN
19-01239061,"2901 INDIANA ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/30/2019 11:59:00 PM,Closed (Duplicate),10/21/2019 10:12:35 AM,01/27/2020 02:53:37 AM,10/21/2019 10:12:35 AM,Investigation Complete,Standard,API,"(32.78567925694864000,-96.78268489348193000)",500t000000NZKK2AAP
19-01357462,"2924 TAYLOR ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed (Duplicate),11/21/2019 03:13:35 PM,01/27/2020 02:46:33 AM,11/21/2019 03:13:35 PM,,Standard,API,"(32.78150363619635000,-96.78098735349548000)",500t000000OctzIAAR
19-01410628,"1156 ELM ST, DALLAS, TX, 75202",14,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,12/20/2019 11:59:00 PM,Closed,12/08/2019 11:10:27 PM,01/27/2020 02:55:02 AM,12/08/2019 11:10:27 PM,No Action Required,Standard,Phone,"(32.78068890531118000,-96.80212932917063000)",500t000000OeisAAAR
19-01356585,"3220 SAMUELL BLVD, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,New,11/21/2019 01:19:48 PM,01/27/2020 02:47:00 AM,11/21/2019 01:19:48 PM,,Standard,API,"(32.79283060887414000,-96.74012571768334000)",500t000000OcsScAAJ
20-00085334,"5264 KELLER SPRINGS RD, DALLAS, TX, 75248",11,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,02/07/2020 11:19:42 PM,New,01/26/2020 11:19:42 PM,01/26/2020 11:19:52 PM,01/26/2020 11:19:42 PM,,Standard,API,"(32.96839414117203400,-96.81797313720250000)",500t000000R3oDhAAJ
19-01235320,"2103 S ERVAY ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/27/2019 11:59:00 PM,Closed,10/19/2019 11:03:44 AM,01/27/2020 02:52:52 AM,10/19/2019 11:03:44 AM,Investigation Complete,Standard,API,"(32.76839729924479600,-96.78514352201188000)",500t000000NYQmAAAX
20-00005642,"N CARROLL AVE & LIVE OAK ST, DALLAS, TX, 75204",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/17/2020 07:34:27 AM,Closed,01/03/2020 07:34:27 AM,01/27/2020 02:33:30 AM,01/03/2020 07:34:27 AM,Work Completed,Standard,Proactive,"(32.79930401241162500,-96.77648798633730000)",500t000000Pzhz0AAB
19-01345038,"2225 SUMMER ST, DALLAS, TX, 75202",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/28/2020 11:59:00 PM,Closed,11/19/2019 08:58:15 AM,01/27/2020 02:46:17 AM,11/19/2019 08:58:15 AM,Investigation Complete,Standard,API,"(32.78588443821488600,-96.80666822443568000)",500t000000OcV43AAF
19-01219284,"2900 CANTON ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed,10/15/2019 11:16:25 AM,01/27/2020 02:49:57 AM,10/15/2019 11:16:25 AM,Investigation Complete,Standard,API,"(32.78238953462121000,-96.78160823880945000)",500t000000N6wB6AAJ
19-01263113,"566 N PRAIRIE AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/03/2020 11:59:00 PM,Closed,10/27/2019 03:04:02 PM,01/27/2020 01:52:37 AM,10/27/2019 03:04:02 PM,Investigation Complete,Standard,API,"(32.79742515264519000,-96.76863589931430000)",500t000000Nt0EWAAZ
19-01337265,"4416 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,In Progress,11/16/2019 09:44:10 AM,01/27/2020 02:41:55 AM,11/16/2019 09:44:10 AM,,Standard,API,"(32.79153012349030400,-96.76881798175727000)",500t000000OcDz1AAF
19-01427847,"5334 ROSS AVE, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 02:23:19 PM,01/27/2020 02:28:26 AM,12/12/2019 02:23:19 PM,,Standard,API,"(32.80968424941984000,-96.77182451091323000)",500t000000OfU0kAAF
19-01321118,"2425 SYLVAN AVE, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed,11/12/2019 02:24:18 PM,01/27/2020 02:38:46 AM,11/12/2019 02:24:18 PM,Investigation Complete,Standard,API,"(32.77488913790544000,-96.83604590417917000)",500t000000ObfleAAB
19-01253778,"4801 TREMONT ST, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 11:42:37 AM,01/27/2020 01:51:08 AM,10/24/2019 11:42:37 AM,Investigation Complete,Standard,API,"(32.79687947039361000,-96.76816463827745000)",500t000000NrbO5AAJ
19-01431159,"2711 N HASKELL AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,Closed,12/13/2019 11:37:31 AM,01/27/2020 02:04:18 AM,12/13/2019 11:37:31 AM,Investigation Complete,Standard,API,"(32.80618192155560600,-96.79173413823940000)",500t000000PxKXPAA3
19-01418928,"1216 JACKSON ST, DALLAS, TX, 75202",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,Closed,12/10/2019 03:25:56 PM,01/27/2020 02:55:20 AM,12/10/2019 03:25:56 PM,Investigation Complete,Standard,API,"(32.77851937755242000,-96.80135757653063000)",500t000000Of3bPAAR
19-01177736,"500 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/12/2019 11:59:00 PM,Closed,10/03/2019 10:10:22 AM,01/27/2020 12:57:40 AM,10/03/2019 10:10:22 AM,Investigation Complete,Standard,API,"(32.78669825407432000,-96.76821160504000000)",500t000000N3y2qAAB
19-01338666,"1679 S CORINTH ST RD, DALLAS, TX, 75203",4,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/05/2019 11:59:00 PM,Closed,11/17/2019 09:18:33 AM,01/27/2020 02:42:01 AM,11/17/2019 09:18:33 AM,Work Completed,Standard,API,"(32.72648638799340000,-96.79954602838092000)",500t000000OcGPBAA3
19-01286195,"4727 REIGER AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/10/2020 11:59:00 PM,Closed,11/03/2019 09:50:10 AM,01/27/2020 02:10:44 AM,11/03/2019 09:50:10 AM,Investigation Complete,Standard,API,"(32.79487819294553000,-96.76674411041114000)",500t000000NvE4jAAF
19-01211047,"5200 BRYAN ST, DALLAS, TX, 75206",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/20/2019 11:59:00 PM,Closed,10/12/2019 02:23:05 PM,01/27/2020 02:49:20 AM,10/12/2019 02:23:05 PM,Investigation Complete,Standard,API,"(32.80663795353172000,-96.76995487462354000)",500t000000N6PVwAAN
19-01321485,"1210 FLETCHER ST, DALLAS, TX, 75223",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed,11/12/2019 03:13:50 PM,01/27/2020 02:49:00 AM,11/12/2019 03:13:50 PM,,Standard,API,"(32.78338609506651000,-96.75830900293586000)",500t000000ObgUZAAZ
19-01301240,"1717 N PEAK ST, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 05:53:07 PM,01/27/2020 01:57:22 AM,11/06/2019 05:53:07 PM,,Standard,API,"(32.80123764131310000,-96.78233769430491000)",500t000000NiNvrAAF
19-01275375,"5931 S R L THORNTON FWY SB, DALLAS, TX, 75232",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/08/2020 11:59:00 PM,Closed,10/30/2019 02:30:13 PM,01/27/2020 02:52:17 AM,10/30/2019 02:30:13 PM,Investigation Complete,Standard,API,"(32.67546160013472000,-96.82279967063121000)",500t000000NusxmAAB
19-01321076,"1739 SINGLETON BLVD, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed,11/12/2019 02:18:57 PM,01/27/2020 02:48:49 AM,11/12/2019 02:18:57 PM,Investigation Complete,Standard,API,"(32.77866845081096000,-96.84710301639446000)",500t000000Obfg5AAB
19-01411490,"W DAVIS ST & N TYLER ST, DALLAS, TX, 75208",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/23/2019 09:45:14 AM,Closed,12/09/2019 09:45:14 AM,01/27/2020 02:54:45 AM,12/09/2019 09:45:14 AM,Work Completed,Standard,Proactive,"(32.74949365333437000,-96.83757876855702000)",500t000000Oelh5AAB
19-01425725,"4837 GASTON AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,Closed,12/12/2019 09:18:36 AM,01/27/2020 02:04:23 AM,12/12/2019 09:18:36 AM,Investigation Complete,Standard,API,"(32.79945002042184000,-96.77041686290899000)",500t000000OfPGTAA3
19-01224655,"1408 FORT WORTH AVE, DALLAS, TX, 75208",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,In Progress,10/16/2019 01:28:40 PM,01/27/2020 02:21:48 AM,10/16/2019 01:28:40 PM,,Standard,API,"(32.76595364216217000,-96.84298631827572000)",500t000000NWeIoAAL
19-01186472,"1507 SULLIVAN DR, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/13/2019 11:59:00 PM,Closed,10/05/2019 12:57:53 PM,01/27/2020 01:53:02 AM,10/05/2019 12:57:53 PM,Investigation Complete,Standard,API,"(32.77082549853661000,-96.79093752060257000)",500t000000N4Y2dAAF
19-01377947,"4000 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,Closed,11/27/2019 01:27:46 PM,01/27/2020 02:39:13 AM,11/27/2019 01:27:46 PM,Investigation Complete,Standard,API,"(32.78840615626734000,-96.77253514264963000)",500t000000Odd1YAAR
19-01314264,"3400 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/20/2020 11:59:00 PM,Closed,11/11/2019 10:09:06 AM,01/27/2020 02:48:11 AM,11/11/2019 10:09:06 AM,Investigation Complete,Standard,API,"(32.78604868983181000,-96.77604355960914000)",500t000000ObRrYAAV
20-00012509,"N CENTRAL EXPY SB & N GOOD LATIMER EXPY SB, DALLAS, TX, 75204",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/21/2020 07:12:32 AM,Closed,01/06/2020 07:12:33 AM,01/27/2020 02:05:24 AM,01/06/2020 07:12:33 AM,Work Completed,Standard,Proactive,"(32.79630476242515000,-96.79310868474244000)",500t000000PzvkmAAB
19-01300657,"2408 N FITZHUGH AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed (Duplicate),11/06/2019 04:05:13 PM,01/27/2020 01:57:20 AM,11/06/2019 04:05:13 PM,,Standard,API,"(32.81150242605069400,-96.78220252009902000)",500t000000NiMyBAAV
19-01224834,"3900 ROSS AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 01:50:19 PM,01/27/2020 02:21:56 AM,10/16/2019 01:50:19 PM,Investigation Complete,Standard,API,"(32.79882153726383400,-96.78482933830904000)",500t000000NWfGOAA1
19-01166684,"4600 BRYAN ST, DALLAS, TX, 75204",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,10/15/2019 07:11:38 AM,Closed,10/01/2019 07:11:38 AM,01/27/2020 01:13:09 AM,10/01/2019 07:11:38 AM,Work Completed,Standard,Proactive,"(32.80147826277095000,-96.77614465184695000)",500t000000N3DbQAAV
19-01224867,"3616 ROSS AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 01:53:56 PM,01/27/2020 02:21:29 AM,10/16/2019 01:53:56 PM,Investigation Complete,Standard,API,"(32.79686755250372000,-96.78715480458416000)",500t000000NWfARAA1
19-01415872,"4001 CAPITOL AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,In Progress,12/10/2019 09:24:42 AM,01/27/2020 02:55:42 AM,12/10/2019 09:24:42 AM,,Standard,API,"(32.80630730250839400,-96.78848266951584000)",500t000000OexmRAAR
19-01284722,"501 EXPOSITION AVE, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/10/2020 11:59:00 PM,Closed,11/02/2019 08:47:43 AM,01/27/2020 02:10:26 AM,11/02/2019 08:47:43 AM,Investigation Complete,Standard,API,"(32.78335730347703000,-96.77136007872903000)",500t000000NvBlGAAV
